Analyst,FileName,Date,RecordingLocation,plot,location,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,Rain,MicUsed,UndergradComments,SilvyComments,newdate,year,StartTime,TimeDiff,CallEnd,CallingAtStart,CallingAtEnd,path,date,meanRMS_0_2kHz,meanRMS_0_8kHz,meanRMS_2_8kHz,LunarPhase,today_average,lastnight_average,lastnight_min,dt,roundDateTime,Celsius,Humidity,Titis,Howlers,CallDurationInSec,Year
Silvy van Kuijk,HARPIA_20130224_061500.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:20:36,NA,NA,NA,Rain,1,NA,NA,2/24/2013,2013,0000-01-01 06:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013",24-Feb-13,100.4620086,105.8517319,104.3709028,Full,24.39583333,22.75,22,2/24/2013,2/24/2013,22.5,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130224_063000.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:36:41,NA,NA,NA,Rain,1,NA,NA,2/24/2013,2013,0000-01-01 06:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013",24-Feb-13,95.85257859,101.6160122,100.2784021,Full,24.39583333,22.75,22,2/24/2013,2/24/2013,22.5,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130224_064500.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:52:30,NA,NA,NA,Rain,1,NA,NA,2/24/2013,2013,0000-01-01 06:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013",24-Feb-13,92.58596521,98.16513116,96.75909228,Full,24.39583333,22.75,22,2/24/2013,2/24/2013,22.5,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130224_070000.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:01:47,NA,NA,NA,Rain,1,NA,NA,2/24/2013,2013,0000-01-01 07:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013",24-Feb-13,89.82678257,95.97486052,94.7678474,Full,24.39583333,22.75,22,2/24/2013,2/24/2013,22.5,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130224_071500.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:23:55,NA,NA,NA,Rain,1,NA,NA,2/24/2013,2013,0000-01-01 07:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013",24-Feb-13,86.95185159,95.29354004,94.60610097,Full,24.39583333,22.75,22,2/24/2013,2/24/2013,22.5,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130224_073000.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:37:44,NA,NA,NA,Rain,1,NA,NA,2/24/2013,2013,0000-01-01 07:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013",24-Feb-13,86.26700934,95.03640024,94.41820292,Full,24.39583333,22.75,22,2/24/2013,2/24/2013,22.5,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130224_074500.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:50:21,NA,NA,NA,Rain,1,NA,NA,2/24/2013,2013,0000-01-01 07:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013",24-Feb-13,83.68780016,94.1688023,93.76172869,Full,24.39583333,22.75,22,2/24/2013,2/24/2013,22.5,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130224_080000.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 08:05:37,NA,NA,NA,Drizzle,1,NA,NA,2/24/2013,2013,0000-01-01 08:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013",24-Feb-13,84.21791983,93.76504408,93.25442286,Full,24.39583333,22.75,22,2/24/2013,2/24/2013,22.5,100,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130225_054500.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 05:48:57,NA,NA,NA,Dry,1,NA,NA,2/25/2013,2013,0000-01-01 05:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013",25-Feb-13,76.21525666,96.66167599,96.62232125,Full,25.70833333,24.29166667,23.5,2/25/2013,2/25/2013,23.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130225_060000.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:04:35,NA,NA,NA,Dry,1,NA,NA,2/25/2013,2013,0000-01-01 06:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013",25-Feb-13,86.95117626,95.64810402,95.01873233,Full,25.70833333,24.29166667,23.5,2/25/2013,2/25/2013,23.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130225_061500.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",Howler,0000-01-01 06:15:00,0:10:00,"Start, End",3,Dry,1,NA,"Howlers sang shortly before rain (5 minute window). Complete capuchin call at 06:15:45, lasts 2 seconds, distance score 3.",2/25/2013,2013,0000-01-01 06:15:00,0,0000-01-01 06:25:00,TRUE,TRUE,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013",25-Feb-13,,NA,NA,Full,25.70833333,24.29166667,23.5,2/25/2013,2/25/2013,23.5,99,FALSE,TRUE,600,2013
Silvy van Kuijk,HARPIA_20130225_063000.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:31:23,NA,NA,NA,Rain,1,NA,NA,2/25/2013,2013,0000-01-01 06:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013",25-Feb-13,84.21854483,91.35121938,90.41770582,Full,25.70833333,24.29166667,23.5,2/25/2013,2/25/2013,23.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130225_064500.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:52:55,NA,NA,NA,Drizzle,1,NA,NA,2/25/2013,2013,0000-01-01 06:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013",25-Feb-13,77.52401573,89.70572173,89.43497821,Full,25.70833333,24.29166667,23.5,2/25/2013,2/25/2013,23.5,99,FALSE,FALSE,NA,2013
