Analyst,FileName,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,Rain,UndergradComments,SilvyComments
Silvy van Kuijk,HARPIA_20130218_074500,2/18/2013,"Harpia, 2,200",None,,,,,Drizzle,,"Oil generator noise visible, bottom 150 HZ"
Silvy van Kuijk,HARPIA_20130218_080000,2/18/2013,"Harpia, 2,200",None,,,,,Drizzle,,"Oil generator noise visible, bottom 150 HZ"
Silvy van Kuijk,HARPIA_20130219_054500,2/19/2013,"Harpia, 2,200",None,,,,,Dry,,
Silvy van Kuijk,HARPIA_20130219_060000,2/19/2013,"Harpia, 2,200",None,,,,,Drizzle,,
Silvy van Kuijk,HARPIA_20130219_061500,2/19/2013,"Harpia, 2,200",None,,,,,Drizzle,,
Silvy van Kuijk,HARPIA_20130219_063000,2/19/2013,"Harpia, 2,200",None,,,,,Drizzle,,
Silvy van Kuijk,HARPIA_20130219_064500,2/19/2013,"Harpia, 2,200",None,,,,,Drizzle,,
Silvy van Kuijk,HARPIA_20130219_070000,2/19/2013,"Harpia, 2,200",None,,,,,Drizzle,,
Silvy van Kuijk,HARPIA_20130219_071500,2/19/2013,"Harpia, 2,200",None,,,,,Rain,,Rain slowly gets heavier throughout file.
Silvy van Kuijk,HARPIA_20130219_073000,2/19/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130219_074500,2/19/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130219_080000,2/19/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130220_054500,2/20/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130220_060000,2/20/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130220_061500,2/20/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130220_063000,2/20/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130220_064500,2/20/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130220_070000,2/20/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130220_071500,2/20/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130220_073000,2/20/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130220_074500,2/20/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130220_080000,2/20/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130221_054500,2/21/2013,"Harpia, 2,200",None,,,,,Drizzle,,
Silvy van Kuijk,HARPIA_20130221_060000,2/21/2013,"Harpia, 2,200",None,,,,,Drizzle,,Light rain
Silvy van Kuijk,HARPIA_20130221_061500,2/21/2013,"Harpia, 2,200",Capuchin,6:36:32,0:00:03,Complete,3,Drizzle,,"Woollies screaming at 4:10, but those are not part of the protocol."
Silvy van Kuijk,HARPIA_20130221_063000,2/21/2013,"Harpia, 2,200",None,,,,,Rain,,"No howlers before the rain, but I did hear woollies and capuchins in previous file."
Silvy van Kuijk,HARPIA_20130221_064500,2/21/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130221_070000,2/21/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130221_071500,2/21/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130221_073000,2/21/2013,"Harpia, 2,200",None,,,,,Drizzle,,
Silvy van Kuijk,HARPIA_20130221_074500,2/21/2013,"Harpia, 2,200",None,,,,,Rain,,
Silvy van Kuijk,HARPIA_20130221_080000,2/21/2013,"Harpia, 2,200",None,,,,,Rain,,
Andy Zhou,HARPIA_20130227_054500,2/27/2013,"Harpia, 3, -50",None,,,,,Drizzle,,
Andy Zhou,HARPIA_20130227_060000,2/27/2013,"Harpia, 3, -50",None,,,,,Drizzle,,
Andy Zhou,HARPIA_20130227_061500,2/27/2013,"Harpia, 3, -50",None,,,,,Drizzle,,
Andy Zhou,HARPIA_20130227_063000,2/27/2013,"Harpia, 3, -50",None,,,,,Drizzle,,
Andy Zhou,HARPIA_20130227_064500,2/27/2013,"Harpia, 3, -50",None,,,,,Drizzle,,
Andy Zhou,HARPIA_20130227_070000,2/27/2013,"Harpia, 3, -50",None,,,,,Drizzle,,
Andy Zhou,HARPIA_20130227_071500,2/27/2013,"Harpia, 3, -50",None,,,,,Drizzle,,
Andy Zhou,HARPIA_20130227_073000,2/27/2013,"Harpia, 3, -50",None,,,,,Drizzle,,
Andy Zhou,HARPIA_20130227_074500,2/27/2013,"Harpia, 3, -50",None,,,,,Drizzle,,
Andy Zhou,HARPIA_20130227_080000,2/27/2013,"Harpia, 3, -50",Howler,8:07:46,0:01:57,Complete,4,Rain,,
Andy Zhou,HARPIA_20130208_054500,2/8/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130208_060000,2/8/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130208_061500,2/8/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130208_063000,2/8/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130208_064500,2/8/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130208_070000,2/8/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130208_071500,2/8/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130208_073000,2/8/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130208_074500,2/8/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130208_080000,2/8/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130209_054500,2/9/2013,"Harpia, 3, 400",None,,,,,Rain,"Loud grating noise on right ear for most of the video, don't know if from animal or machine",
Andy Zhou,HARPIA_20130209_060000,2/9/2013,"Harpia, 3, 400",None,,,,,Rain,,
Andy Zhou,HARPIA_20130209_061500,2/9/2013,"Harpia, 3, 400",None,,,,,Rain,,
