Date,LunarPhase,RainPreviousDay,HowlerCount,TotalCallTime,today_average_temp,today_min_temp,lastnight_average_temp,lastnight_min_temp,Year,HowlerPresence
2/17/2017,Waning,0.6,7,2482,25.47916667,23,24,23,2017,1
2/18/2017,Waning,0.2,2,778,24.95833333,21.5,23.95833333,22,2017,1
2/19/2017,Waning,5.6,12,5737,26.20833333,23,24.79166667,23,2017,1
2/20/2017,Waning,0.4,4,1910,26.3125,23,25.375,23.5,2017,1
2/21/2017,Waning,6,7,3189,26.41666667,24,25.625,24,2017,1
2/22/2017,New,0,1,548,23.35416667,22,26.04166667,23.5,2017,1
2/23/2017,New,20.8,5,2033,24.35416667,22,22.29166667,22,2017,1
2/24/2017,New,0.2,7,3126,24.25,22,23.875,22,2017,1
2/25/2017,New,0.8,0,0,23.97916667,23,23.54166667,23,2017,0
2/26/2017,New,10.6,0,0,22.72916667,22,23.29166667,22.5,2017,0
