Analyst,FileName,StartTime,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,Rain,UndergradComments,SilvysComments,LunarPhase,TodayAverageTemp,LastnightAverageTemp,LastnightMinTemp,TempAtHour,HumidityAtHour
Silvy van Kuijk,HARPIA_20130225_071500,71500,2/25/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,25.70833333,24.29166667,23.5,23.5,99.5
Silvy van Kuijk,HARPIA_20130225_073000,73000,2/25/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,25.70833333,24.29166667,23.5,23.5,100
Silvy van Kuijk,HARPIA_20130225_074500,74500,2/25/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,25.70833333,24.29166667,23.5,23.5,100
Silvy van Kuijk,HARPIA_20130225_080000,80000,2/25/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,25.70833333,24.29166667,23.5,23,100
Silvy van Kuijk,HARPIA_20130225_081500,81500,2/25/2013,"Harpia, 1, -50",Howler ,8:15:48,0:07:39,Complete,3,Dry,,"This is not continuous howling, it's more intermittent.",Full,25.70833333,24.29166667,23.5,24.5,100
Silvy van Kuijk,HARPIA_20130225_083000,83000,2/25/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,25.70833333,24.29166667,23.5,25,98
Silvy van Kuijk,HARPIA_20130225_084500,84500,2/25/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,25.70833333,24.29166667,23.5,26.5,94.5
Silvy van Kuijk,HARPIA_20130225_090000,90000,2/25/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,25.70833333,24.29166667,23.5,27,92.5
Silvy van Kuijk,HARPIA_20130225_091500,91500,2/25/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,25.70833333,24.29166667,23.5,25.5,97
Silvy van Kuijk,HARPIA_20130226_054500,54500,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.89583333,24.54166667,23.5,23,100
Silvy van Kuijk,HARPIA_20130226_060000,60000,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.89583333,24.54166667,23.5,26,96
Silvy van Kuijk,HARPIA_20130226_061500,61500,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.89583333,24.54166667,23.5,27.5,91
Silvy van Kuijk,HARPIA_20130226_063000,63000,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.89583333,24.54166667,23.5,28.5,89.5
Silvy van Kuijk,HARPIA_20130226_064500,64500,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.89583333,24.54166667,23.5,28,90
Silvy van Kuijk,HARPIA_20130226_070000,70000,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.89583333,24.54166667,23.5,25,99
Silvy van Kuijk,HARPIA_20130226_071500,71500,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.89583333,24.54166667,23.5,NA,NA
Silvy van Kuijk,HARPIA_20130226_073000,73000,2/26/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,24.89583333,24.54166667,23.5,NA,NA
Silvy van Kuijk,HARPIA_20130226_074500,74500,2/26/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,24.89583333,24.54166667,23.5,NA,NA
Silvy van Kuijk,HARPIA_20130226_080000,80000,2/26/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,24.89583333,24.54166667,23.5,NA,NA
Silvy van Kuijk,HARPIA_20130226_081500,81500,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.89583333,24.54166667,23.5,NA,NA
Silvy van Kuijk,HARPIA_20130226_083000,83000,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.89583333,24.54166667,23.5,NA,NA
Silvy van Kuijk,HARPIA_20130226_084500,84500,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.89583333,24.54166667,23.5,NA,NA
Silvy van Kuijk,HARPIA_20130226_090000,90000,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.89583333,24.54166667,23.5,NA,NA
Silvy van Kuijk,HARPIA_20130226_091500,91500,2/26/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,There are woollies moving though the trees here. I hear ocasional chirrups and screaming in last seconds of recordings.,Full,24.89583333,24.54166667,23.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_054500,54500,2/27/2013,"Harpia, 1, -50",None,,,,NA,Dry,,,Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_060000,60000,2/27/2013,"Harpia, 1, -50",None,,,,NA,Dry,,Someone walks by 6:30 into recording.,Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_061500,61500,2/27/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_063000,63000,2/27/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,"Series of 2 complete capuchin loud calls, pretty faint distance 3, starting at 06:36:30, lasts 6 seconds. Series of 3 short capuchin loud calls, starting at 06:39:44, lasts 11 seconds, distance 3.",Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_064500,64500,2/27/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,"Single capuchin monkey loud call, starts at 06:49:18, lasts 2 seconds, distance 3.",Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_070000,70000,2/27/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_071500,71500,2/27/2013,"Harpia, 1, -50",None,,,,NA,Rain,,Right microphone has water damage that's getting pretty bad at this point. Has been slowly getting worse for last 3 days or so.,Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_073000,73000,2/27/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_074500,74500,2/27/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_080000,80000,2/27/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,24.16666667,23.25,22.5,NA,NA
