"","Date","LunarPhase","RainPreviousDay","TitiCount","TotalCallTime","today_average_temp","today_min_temp","lastnight_average_temp","lastnight_min_temp","Year"
"73",2016-02-13,"Waxing",6,0,0,24.58333333,23,23.58333333,23,"2016"
"74",2016-02-14,"Waxing",0.2,0,0,25.1875,23.5,24.70833333,24,"2016"
"75",2016-02-15,"Waxing",15.6,0,0,24.72916667,23,23.875,23,"2016"
"76",2016-02-22,"Full",22,0,0,25.625,23.5,24.66666667,23.5,"2016"
"77",2016-02-23,"Full",0,1,92,25.58333333,24,25.75,25,"2016"
"78",2016-02-24,"Full",0.2,0,0,24.45833333,23.5,24.29166667,24,"2016"
"79",2016-02-25,"Full",24.2,0,0,25.33333333,23.5,24.25,23.5,"2016"
"80",2017-02-12,"Full",74,0,0,27.35416667,24.5,25.91666667,24.5,"2017"
"81",2017-02-13,"Full",0,5,1552,27.35416667,23.5,26.16666667,23.5,"2017"
"82",2017-02-14,"Full",0,0,0,24.95833333,22.5,26,23,"2017"
"83",2017-02-15,"Waning",4,5,1248,24.64583333,23,24.5,23.5,"2017"
"84",2017-02-16,"Waning",0,3,717,24.41666667,22.5,23.54166667,22.5,"2017"
"85",2017-02-17,"Waning",0.6,2,717,25.47916667,23,24,23,"2017"
"86",2017-02-18,"Waning",0.2,1,340,24.95833333,21.5,23.95833333,22,"2017"
"87",2017-02-19,"Waning",5.6,5,700,26.20833333,23,24.79166667,23,"2017"
"88",2017-02-20,"Waning",0.4,3,671,26.3125,23,25.375,23.5,"2017"
"89",2017-02-21,"Waning",6,1,118,26.41666667,24,25.625,24,"2017"
"90",2017-02-22,"New",0,0,0,23.35416667,22,26.04166667,23.5,"2017"
"91",2017-02-23,"New",20.8,3,733,24.35416667,22,22.29166667,22,"2017"
"92",2017-02-24,"New",0.2,1,370,24.25,22,23.875,22,"2017"
"93",2017-02-25,"New",0.8,0,0,23.97916667,23,23.54166667,23,"2017"
"94",2017-02-26,"New",10.6,0,0,22.72916667,22,23.29166667,22.5,"2017"
