"","X1","Analyst","FileName","Date","RecordingLocation","plot","location","PrimateSpecies","CallOnset","CallDuration","CallCompletion","CallDistance","MicUsed","Rain","UndergradComments","SilvyComments","newdate","year","StartTime","TimeDiff","CallEnd","CallingAtStart","CallingAtEnd","path","date","meanRMS_0_2kHz","meanRMS_0_8kHz","meanRMS_2_8kHz","LunarPhase","RainPreviousDay","today_average_temp","today_min_temp","lastnight_average_temp","lastnight_min_temp","dt","roundDateTime","Temperature","Humidity","Titis","Howlers","CallDurationInSec","Year"
"11",11,"Silvy van Kuijk","HARPIA_20130224_054500.wav",2013-02-24,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 05:51:13,NA,NA,NA,1,"Rain",NA,NA,2013-02-24,2013,0000-01-01 05:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013","24 feb 2013",96.2485791006805,101.856374909247,100.461033414817,"Full",5,24.39583333,22,22.75,22,2013-02-24 05:45:00,2013-02-24 06:00:00,22,100,FALSE,FALSE,NA,"2013"
"12",12,"Silvy van Kuijk","HARPIA_20130224_060000.wav",2013-02-24,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:02:07,NA,NA,NA,1,"Rain",NA,NA,2013-02-24,2013,0000-01-01 06:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013","24 feb 2013",97.0362957682509,109.860764098867,109.628125494623,"Full",5,24.39583333,22,22.75,22,2013-02-24 06:00:00,2013-02-24 06:00:00,22,100,FALSE,FALSE,NA,"2013"
"13",13,"Silvy van Kuijk","HARPIA_20130224_061500.wav",2013-02-24,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:19:52,NA,NA,NA,1,"Rain",NA,NA,2013-02-24,2013,0000-01-01 06:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013","24 feb 2013",100.462008583138,105.851731895938,104.370902847967,"Full",5,24.39583333,22,22.75,22,2013-02-24 06:15:00,2013-02-24 06:00:00,22,100,FALSE,FALSE,NA,"2013"
"14",14,"Silvy van Kuijk","HARPIA_20130224_063000.wav",2013-02-24,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:35:51,NA,NA,NA,1,"Rain",NA,NA,2013-02-24,2013,0000-01-01 06:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013","24 feb 2013",95.8525785891458,101.616012152716,100.278402123256,"Full",5,24.39583333,22,22.75,22,2013-02-24 06:30:00,2013-02-24 07:00:00,22,100,FALSE,FALSE,NA,"2013"
"15",15,"Silvy van Kuijk","HARPIA_20130224_064500.wav",2013-02-24,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:47:08,NA,NA,NA,1,"Rain",NA,NA,2013-02-24,2013,0000-01-01 06:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013","24 feb 2013",92.5859652129506,98.1651311626449,96.7590922776961,"Full",5,24.39583333,22,22.75,22,2013-02-24 06:45:00,2013-02-24 07:00:00,22,100,FALSE,FALSE,NA,"2013"
"16",16,"Silvy van Kuijk","HARPIA_20130224_070000.wav",2013-02-24,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:08:03,NA,NA,NA,1,"Rain",NA,NA,2013-02-24,2013,0000-01-01 07:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013","24 feb 2013",89.8267825661077,95.9748605197885,94.767847396769,"Full",5,24.39583333,22,22.75,22,2013-02-24 07:00:00,2013-02-24 07:00:00,22,100,FALSE,FALSE,NA,"2013"
"17",17,"Silvy van Kuijk","HARPIA_20130224_071500.wav",2013-02-24,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:21:53,NA,NA,NA,1,"Rain",NA,NA,2013-02-24,2013,0000-01-01 07:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013","24 feb 2013",86.9518515881698,95.293540044804,94.6061009712673,"Full",5,24.39583333,22,22.75,22,2013-02-24 07:15:00,2013-02-24 07:00:00,22,100,FALSE,FALSE,NA,"2013"
"18",18,"Silvy van Kuijk","HARPIA_20130224_073000.wav",2013-02-24,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:33:51,NA,NA,NA,1,"Rain",NA,NA,2013-02-24,2013,0000-01-01 07:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013","24 feb 2013",86.2670093442254,95.0364002360256,94.4182029218618,"Full",5,24.39583333,22,22.75,22,2013-02-24 07:30:00,2013-02-24 08:00:00,22.5,100,FALSE,FALSE,NA,"2013"
"19",19,"Silvy van Kuijk","HARPIA_20130224_074500.wav",2013-02-24,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:50:55,NA,NA,NA,1,"Rain",NA,NA,2013-02-24,2013,0000-01-01 07:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013","24 feb 2013",83.6878001630869,94.168802303754,93.7617286891394,"Full",5,24.39583333,22,22.75,22,2013-02-24 07:45:00,2013-02-24 08:00:00,22.5,100,FALSE,FALSE,NA,"2013"
"20",20,"Silvy van Kuijk","HARPIA_20130224_080000.wav",2013-02-24,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 08:08:10,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-24,2013,0000-01-01 08:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/24 feb 2013","24 feb 2013",84.2179198296907,93.7650440770619,93.2544228598017,"Full",5,24.39583333,22,22.75,22,2013-02-24 08:00:00,2013-02-24 08:00:00,22.5,100,FALSE,FALSE,NA,"2013"
