Analyst,FileName,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,MicUsed,Rain,UndergradComments,SilvyComments
Silvy van Kuijk,HARPIA_20130227_080000,2/27/2013,"Harpia, 1, -50",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130215_054500,2/15/2013,"Harpia, 4, 200",Howler,5:45:00,0:10:00,"Start, End",4,1,Dry,,
Silvy van Kuijk,HARPIA_20130215_060000,2/15/2013,"Harpia, 4, 200",Howler,6:00:00,0:10:00,"Start, End",4,1,Dry,,Can hear something large move through trees. 
Silvy van Kuijk,HARPIA_20130215_061500,2/15/2013,"Harpia, 4, 200",Howler,6:15:00,0:10:00,"Start, End",4,1,Dry,,This spider monkey loud call is followed by something softer. A whinny?
Silvy van Kuijk,HARPIA_20130215_063000,2/15/2013,"Harpia, 4, 200",None,,,,,1,Dry,,Some woolly calls at 1:13.
Silvy van Kuijk,HARPIA_20130215_064500,2/15/2013,"Harpia, 4, 200",Howler,6:54:04,0:00:09,Complete,3,1,Dry,,Wind picks up at last 1/3 of recording. Short howler roar of 9 seconds towards the end of recording.
Silvy van Kuijk,HARPIA_20130215_070000,2/15/2013,"Harpia, 4, 200",None,,,,,1,Rain,,Thunder at 07:18
Silvy van Kuijk,HARPIA_20130215_071500,2/15/2013,"Harpia, 4, 200",None,,,,,1,Rain,,Thunder at 7:31
Silvy van Kuijk,HARPIA_20130215_073000,2/15/2013,"Harpia, 4, 200",None,,,,,1,Rain,,Thunder at 9:09
Silvy van Kuijk,HARPIA_20130215_074500,2/15/2013,"Harpia, 4, 200",None,,,,,1,Rain,,"Thunder at 1:30, 2:50, 4:07, 4:55. I think I hear howlers while ot rains too, really far away."
Silvy van Kuijk,HARPIA_20130215_080000,2/15/2013,"Harpia, 4, 200",Howler,8:00:42,0:09:18,End,3,1,Rain,,
Silvy van Kuijk,HARPIA_20130216_054500,2/16/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130216_060000,2/16/2013,"Harpia, 4, 200",Titi,6:00:04,0:03:00,Start,3,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130216_061500,2/16/2013,"Harpia, 4, 200",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130216_063000,2/16/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,Some howlers really far away.
Silvy van Kuijk,HARPIA_20130216_064500,2/16/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130216_070000,2/16/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130216_071500,2/16/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130216_073000,2/16/2013,"Harpia, 4, 200",None,,,,,1,Rain,,"Rain getting slightly less heavy, you can see some insect activity about 6 minutes in."
Silvy van Kuijk,HARPIA_20130216_074500,2/16/2013,"Harpia, 4, 200",None,,,,,1,Rain,,Rain gets much heavier again.
Silvy van Kuijk,HARPIA_20130216_080000,2/16/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130217_054500,2/17/2013,"Harpia, 4, 200",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130217_060000,2/17/2013,"Harpia, 4, 200",None,,,,,1,Dry,,Capuchin call at 06:05:53
Silvy van Kuijk,HARPIA_20130217_061500,2/17/2013,"Harpia, 4, 200",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130217_063000,2/17/2013,"Harpia, 4, 200",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130217_064500,2/17/2013,"Harpia, 4, 200",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130217_070000,2/17/2013,"Harpia, 4, 200",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130217_071500,2/17/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130217_073000,2/17/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130217_074500,2/17/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130217_080000,2/17/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130218_054500,2/18/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130218_060000,2/18/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130218_061500,2/18/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130218_063000,2/18/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130218_064500,2/18/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,Woollie monkey alarm calls in distance
Silvy van Kuijk,HARPIA_20130218_070000,2/18/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,"Woollie monkey alarm calls, not too far away. At 4:38 good for analysis?"
Silvy van Kuijk,HARPIA_20130218_071500,2/18/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130218_073000,2/18/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,Woollies near recorder
Silvy van Kuijk,HARPIA_20130218_074500,2/18/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130218_080000,2/18/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130219_054500,2/19/2013,"Harpia, 4, 200",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130219_060000,2/19/2013,"Harpia, 4, 200",Titi,6:03:33,0:01:27,Complete,3,1,Drizzle,,"First four burst gobbles, fourth one immediately followed by short duet potentially from another group! Thunder in distance at 06:52"
Silvy van Kuijk,HARPIA_20130219_061500,2/19/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,Thunder at 08:08
Silvy van Kuijk,HARPIA_20130219_063000,2/19/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130219_064500,2/19/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130219_070000,2/19/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130219_071500,2/19/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130219_073000,2/19/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130219_074500,2/19/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130219_080000,2/19/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130220_054500,2/20/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
